Location,Sheet,GatewayAlias,TrapID,Region,TrapAddress,PestSpecies,Year,Week,week_start,week_end,observed_days,MaxT,MinT,RH1,RH2,RF,WS,SSH,EVP,BPH,TrapCount_sum,TrapCount_mean,TrapTemperature_mean,TrapHumidity_mean,BPH_lag1,BPH_lag2,BPH_lag3,BPH_roll3_mean,BPH_roll3_max,BPH_roll6_mean,BPH_roll6_max,MaxT_lag1,MaxT_roll3_mean,MinT_lag1,MinT_roll3_mean,RH1_lag1,RH1_roll3_mean,RH2_lag1,RH2_roll3_mean,RF_lag1,RF_roll3_mean,WS_lag1,WS_roll3_mean,SSH_lag1,SSH_roll3_mean,EVP_lag1,EVP_roll3_mean,Target_next
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,22,2023-05-28,2023-06-03,3,32.3,20.1,84.14,74.14,29.6,2.38,48.59,25.72,0.0,0.0,0.0,27.343333333333334,65.85666666666667,,,,,,,,,,,,,,,,,,,,,,,,1.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,23,2023-06-04,2023-06-10,7,34.2,16.0,80.43,75.0,31.1,2.66,59.78,28.9,1.0,1.0,0.14285714285714285,26.004285714285714,74.51857142857143,0.0,,,0.0,0.0,0.0,0.0,32.3,32.3,20.1,20.1,84.14,84.14,74.14,74.14,29.6,29.6,2.38,2.38,48.59,48.59,25.72,25.72,0.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,24,2023-06-11,2023-06-17,4,32.4,19.2,80.14,65.0,8.5,2.69,57.13,31.06,0.0,0.0,0.0,26.857142857142858,72.82714285714285,1.0,0.0,,0.5,1.0,0.5,1.0,34.2,33.25,16.0,18.05,80.43,82.285,75.0,74.57,31.1,30.35,2.66,2.52,59.78,54.185,28.9,27.31,0.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,29,2023-07-16,2023-07-22,1,31.5,23.5,89.43,84.71,117.0,2.29,34.08,19.55,0.0,0.0,0.0,29.330000000000002,84.07428571428571,0.0,1.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,32.4,32.96666666666667,19.2,18.433333333333334,80.14,81.57000000000001,65.0,71.38,8.5,23.066666666666666,2.69,2.5766666666666667,57.13,55.166666666666664,31.06,28.56,7.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,30,2023-07-23,2023-07-29,7,33.2,25.1,86.86,80.86,44.3,3.98,65.75,29.7,7.0,7.0,1.0,30.298571428571424,80.15857142857143,0.0,0.0,1.0,0.3333333333333333,1.0,0.25,1.0,31.5,32.699999999999996,23.5,19.566666666666666,89.43,83.33333333333333,84.71,74.90333333333334,117.0,52.199999999999996,2.29,2.546666666666667,34.08,50.330000000000005,19.55,26.50333333333333,0.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,31,2023-07-30,2023-08-05,7,34.0,25.0,86.43,76.43,17.1,3.1,81.36,32.83,0.0,0.0,0.0,32.99285714285714,72.94714285714285,7.0,0.0,0.0,2.3333333333333335,7.0,1.6,7.0,33.2,32.36666666666667,25.1,22.599999999999998,86.86,85.47666666666667,80.86,76.85666666666667,44.3,56.6,3.98,2.986666666666667,65.75,52.32,29.7,26.77,67.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,32,2023-08-06,2023-08-12,7,35.1,24.0,83.71,75.14,10.3,2.08,79.69,33.11,67.0,67.0,9.571428571428571,31.404285714285717,76.36714285714287,0.0,7.0,0.0,2.3333333333333335,7.0,1.3333333333333333,7.0,34.0,32.9,25.0,24.53333333333333,86.43,87.57333333333334,76.43,80.66666666666667,17.1,59.46666666666667,3.1,3.1233333333333335,81.36,60.39666666666667,32.83,27.36,279.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,33,2023-08-13,2023-08-19,7,33.7,23.9,86.57,81.29,26.5,2.19,77.01,29.64,279.0,279.0,39.857142857142854,30.706666666666667,76.07666666666667,67.0,0.0,7.0,24.666666666666668,67.0,12.5,67.0,35.1,34.1,24.0,24.7,83.71,85.66666666666667,75.14,77.47666666666667,10.3,23.900000000000002,2.08,3.0533333333333332,79.69,75.60000000000001,33.11,31.88,176.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,34,2023-08-20,2023-08-26,7,32.0,22.4,82.71,72.0,27.1,2.8,70.93,31.5,176.0,176.0,25.142857142857142,29.073333333333334,79.13666666666667,279.0,67.0,0.0,115.33333333333333,279.0,58.833333333333336,279.0,33.7,34.266666666666666,23.9,24.3,86.57,85.57,81.29,77.62,26.5,17.96666666666667,2.19,2.4566666666666666,77.01,79.35333333333334,29.64,31.86,56.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,35,2023-08-27,2023-09-02,7,29.4,18.5,86.86,78.57,59.2,2.79,42.5,22.49,56.0,56.0,8.0,24.85571428571429,84.29285714285713,176.0,279.0,67.0,174.0,279.0,88.16666666666667,279.0,32.0,33.6,22.4,23.433333333333334,82.71,84.32999999999998,72.0,76.14333333333333,27.1,21.3,2.8,2.3566666666666665,70.93,75.87666666666667,31.5,31.416666666666668,9.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,36,2023-09-03,2023-09-09,7,31.0,21.7,88.0,73.71,2.5,2.83,74.88,29.19,9.0,9.0,1.2857142857142858,28.715714285714284,76.13571428571429,56.0,176.0,279.0,170.33333333333334,279.0,97.5,279.0,29.4,31.7,18.5,21.599999999999998,86.86,85.38,78.57,77.28666666666668,59.2,37.6,2.79,2.5933333333333333,42.5,63.48,22.49,27.876666666666665,41.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,37,2023-09-10,2023-09-16,7,31.4,20.4,87.43,82.14,74.6,2.74,29.78,17.15,41.0,41.0,5.857142857142857,25.91,85.87,9.0,56.0,176.0,80.33333333333333,176.0,97.83333333333333,279.0,31.0,30.8,21.7,20.866666666666664,88.0,85.85666666666667,73.71,74.75999999999999,2.5,29.600000000000005,2.83,2.8066666666666666,74.88,62.77,29.19,27.72666666666667,109.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,38,2023-09-17,2023-09-23,7,32.0,18.8,88.57,77.57,41.3,2.51,30.18,16.82,109.0,109.0,15.571428571428571,24.84857142857143,85.23714285714286,41.0,9.0,56.0,35.333333333333336,56.0,104.66666666666667,279.0,31.4,30.599999999999998,20.4,20.2,87.43,87.43,82.14,78.13999999999999,74.6,45.43333333333334,2.74,2.7866666666666666,29.78,49.053333333333335,17.15,22.94333333333333,48.0
东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵_1_31_诱虫量,东坝福明农场稻纵,1,江苏省南京市高淳区,00001ce0,稻纵卷叶螟,2023,39,2023-09-24,2023-09-30,7,28.2,19.1,89.57,82.43,13.3,2.19,45.28,17.44,48.0,48.0,6.857142857142857,25.225714285714282,85.50571428571428,109.0,41.0,9.0,53.0,109.0,111.66666666666667,279.0,32.0,31.46666666666667,18.8,20.299999999999997,88.57,88.0,77.57,77.80666666666666,41.3,39.46666666666666,2.51,2.6933333333333334,30.18,44.946666666666665,16.82,21.053333333333335,0.0
